category,n
scopus,4002
google,980
overal,4982
duplicates,156
other_methods,36
screened,4826
screening_excluded,4721
retrieval_databases,105
exluded_databases,74
exluded_databases_fulltext,69
exluded_databases_abstract,5
retrieval_other,36
excluded_other,19
studies_included,48
studies_included_paper,20
studies_included_authors,12
studies_included_data,16
assessed_for_elegibility_databases,105
assessed_for_elegibility_other,36
not_retrieved_databases,0
not_retrieved_other,0
